"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 20:19:42 BRT 2024","Thu Feb 29 20:19:42 BRT 2024","64","","Logout","","","","Test 01 - Verifique se é possível fazer logout corretamente",""
"passed","Thu Feb 29 20:19:57 BRT 2024","Thu Feb 29 20:19:57 BRT 2024","377","","example to-do app","","","","can check off an item as completed",""
"passed","Thu Feb 29 20:19:27 BRT 2024","Thu Feb 29 20:19:27 BRT 2024","37","","Cadastro","","","","Test 02 - Verificar se é possível realizar um cadastro de usuário com informações inválidas",""
"passed","Thu Feb 29 20:19:35 BRT 2024","Thu Feb 29 20:19:35 BRT 2024","62","","Login","","","","Test 02 - Verifique se a página redireciona corretamente após o login bem-sucedido",""
"passed","Thu Feb 29 20:19:57 BRT 2024","Thu Feb 29 20:19:58 BRT 2024","476","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Thu Feb 29 20:19:35 BRT 2024","Thu Feb 29 20:19:35 BRT 2024","71","","Login","","","","Test 01 - Verifique se é possível fazer login com um usuário existente fornecendo o email e senha corretos",""
"passed","Thu Feb 29 20:19:56 BRT 2024","Thu Feb 29 20:19:57 BRT 2024","643","","example to-do app","","","","can add new todo items",""
"passed","Thu Feb 29 20:19:55 BRT 2024","Thu Feb 29 20:19:56 BRT 2024","752","","example to-do app","","","","displays two todo items by default",""
"passed","Thu Feb 29 20:19:58 BRT 2024","Thu Feb 29 20:19:58 BRT 2024","452","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Thu Feb 29 20:19:42 BRT 2024","Thu Feb 29 20:19:42 BRT 2024","41","","Logout","","","","Test 02 - Verifique se não é possível fazer logout",""
"passed","Thu Feb 29 20:19:57 BRT 2024","Thu Feb 29 20:19:57 BRT 2024","516","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Thu Feb 29 20:19:27 BRT 2024","Thu Feb 29 20:19:27 BRT 2024","68","","Cadastro","","","","Test 01 - Verificar se é possível realizar um cadastro de usuário com informações válidas",""
